ind,SpeciesName,ANIC,Pic_code,Filter,tr,label,area,mean,min,max,camera_cat,location,patch_ID
abno01,Anoplognathus_abnormis,AN25000025,4412,VIS,Elytra,B,1.775,41.879,0,168,F01,RoI,abno01Elyt
abno01,Anoplognathus_abnormis,AN25000025,4413,LCP,Elytra,B,1.775,24.245,0,117,F01,RoI,abno01Elyt
abno01,Anoplognathus_abnormis,AN25000025,4414,RCP,Elytra,B,1.775,24.86,0,129,F01,RoI,abno01Elyt
abno01,Anoplognathus_abnormis,AN25000025,4412,VIS,Elytra,G,1.775,80.953,39,194,F01,RoI,abno01Elyt
abno01,Anoplognathus_abnormis,AN25000025,4413,LCP,Elytra,G,1.775,69.642,27,150,F01,RoI,abno01Elyt
abno01,Anoplognathus_abnormis,AN25000025,4414,RCP,Elytra,G,1.775,70.508,33,172,F01,RoI,abno01Elyt
abno01,Anoplognathus_abnormis,AN25000025,4412,VIS,Elytra,R,1.775,98.826,45,194,F01,RoI,abno01Elyt
abno01,Anoplognathus_abnormis,AN25000025,4413,LCP,Elytra,R,1.775,90.698,33,159,F01,RoI,abno01Elyt
abno01,Anoplognathus_abnormis,AN25000025,4414,RCP,Elytra,R,1.775,92.086,41,175,F01,RoI,abno01Elyt
abno02,Anoplognathus_abnormis,AN25000031,4409,VIS,Elytra,B,1.059,36.199,17,122,F01,RoI,abno02Elyt
abno02,Anoplognathus_abnormis,AN25000031,4410,LCP,Elytra,B,1.059,18.883,0,88,F01,RoI,abno02Elyt
abno02,Anoplognathus_abnormis,AN25000031,4411,RCP,Elytra,B,1.059,18.626,0,85,F01,RoI,abno02Elyt
abno02,Anoplognathus_abnormis,AN25000031,4409,VIS,Elytra,G,1.059,64.866,39,141,F01,RoI,abno02Elyt
abno02,Anoplognathus_abnormis,AN25000031,4410,LCP,Elytra,G,1.059,52.353,28,118,F01,RoI,abno02Elyt
abno02,Anoplognathus_abnormis,AN25000031,4411,RCP,Elytra,G,1.059,52.446,28,114,F01,RoI,abno02Elyt
abno02,Anoplognathus_abnormis,AN25000031,4409,VIS,Elytra,R,1.059,80.359,45,146,F01,RoI,abno02Elyt
abno02,Anoplognathus_abnormis,AN25000031,4410,LCP,Elytra,R,1.059,70.318,35,122,F01,RoI,abno02Elyt
abno02,Anoplognathus_abnormis,AN25000031,4411,RCP,Elytra,R,1.059,71,37,129,F01,RoI,abno02Elyt
ambl01,Amblyterus_circatricosus,NA,4840,VIS,Elytra,B,3.155,24.782,9,222,F04,RoI,ambl01Elyt
ambl01,Amblyterus_circatricosus,NA,4841,LCP,Elytra,B,3.155,24.03,13,189,F04,RoI,ambl01Elyt
ambl01,Amblyterus_circatricosus,NA,4842,RCP,Elytra,B,3.155,18.474,4,155,F04,RoI,ambl01Elyt
ambl01,Amblyterus_circatricosus,NA,4840,VIS,Elytra,G,3.155,24.7,8,220,F04,RoI,ambl01Elyt
ambl01,Amblyterus_circatricosus,NA,4841,LCP,Elytra,G,3.155,26.868,15,201,F04,RoI,ambl01Elyt
ambl01,Amblyterus_circatricosus,NA,4842,RCP,Elytra,G,3.155,19.719,4,166,F04,RoI,ambl01Elyt
ambl01,Amblyterus_circatricosus,NA,4840,VIS,Elytra,R,3.155,31.173,16,165,F04,RoI,ambl01Elyt
ambl01,Amblyterus_circatricosus,NA,4841,LCP,Elytra,R,3.155,35.608,20,144,F04,RoI,ambl01Elyt
ambl01,Amblyterus_circatricosus,NA,4842,RCP,Elytra,R,3.155,26.631,13,116,F04,RoI,ambl01Elyt
ambl02,Amblyterus_circatricosus,NA,4844,VIS,Elytra,B,1.072,25.238,12,109,F04,RoI,ambl02Elyt
ambl02,Amblyterus_circatricosus,NA,4845,LCP,Elytra,B,1.072,19.201,3,103,F04,RoI,ambl02Elyt
ambl02,Amblyterus_circatricosus,NA,4846,RCP,Elytra,B,1.072,20.132,7,100,F04,RoI,ambl02Elyt
ambl02,Amblyterus_circatricosus,NA,4844,VIS,Elytra,G,1.072,28.136,15,119,F04,RoI,ambl02Elyt
ambl02,Amblyterus_circatricosus,NA,4845,LCP,Elytra,G,1.072,24.429,8,119,F04,RoI,ambl02Elyt
ambl02,Amblyterus_circatricosus,NA,4846,RCP,Elytra,G,1.072,21.785,9,113,F04,RoI,ambl02Elyt
