Beetle,Td_VIS,Ab_VIS
anom1,6.718461728,89.72004911
anom2,2.102873173,90.47752905
atki1,2.94037369,90.6855463
atki2,0.309481476,91.14871151
aurs1,8.700401976,60.07943481
aurs2,8.635724004,59.72850388
clor1,12.13358128,72.08985925
clor2,4.496964149,80.8181241
conc1,22.12935415,70.41160956
conc2,18.34245389,68.93719702
ecry1,6.184104744,77.3746535
ecry2,8.574407275,79.79549457
fchi1,0.068163933,90.75939353
fchi2,0.336959869,91.00755208
gray1,1.195193932,85.8882735
gray2,1.610946075,90.48250634
hirs1,10.46613301,83.14591474
hirs2,9.652046804,81.83619379
lats1,3.088988457,78.22317361
lats2,3.305164052,71.86764244
mcla1,2.040591872,77.55186327
mclm1,2.549219706,75.64905683
mclm2,3.068650894,83.56753669
narm1,2.910610154,86.21096264
narm2,3.089161899,90.00877676
ocul1,12.21700311,82.6760512
ocul2,15.1451837,76.77495146
oliv1,19.5754893,70.57715447
oliv2,5.12077133,83.80983361
opal1,6.957098078,80.03762087
pali1,2.878137781,81.64059617
pali2,4.409684146,89.46197129
poro1,11.21644485,79.39919752
poro2,1.71434916,83.83865674
ppsi1,5.361026275,83.44357069
ppsi2,8.388176688,86.78262761
prsi1,0.41018124,80.19265742
prsi2,0.5316324,84.5181389
prsi3,0.42173002,79.45982387
pvul1,6.474353779,69.7771071
pvul2,15.33125746,54.10119695
rayn1,2.525778399,85.94947592
rayn2,4.175868523,83.79289522
rose1,3.8587326,84.92513183
rpan1,0.303195899,90.66639374
rpmm1,0.672327746,94.28273766
rpmt1,1.864692918,90.4833659
smgd1,4.409409159,90.01475928
smgd2,1.073538875,93.91619467
tars1,6.290378194,77.52904389
tars2,5.448823354,80.1461545
vrid1,7.912276515,79.86895072
vrid2,1.097529049,85.92767439
xyln1,12.20643866,83.95235728
xyln2,0.359511644,74.1358265
xyln3,0.239470578,87.39692919
