species,reg,lat,lon,avg_temp_over_35,avg_max_temp,avg_min_temp,avg_sol,avg_year_sol,avg_year_vpr,cloud_cover,avg_rr,avg_vpr,avg_temp_over_35_Coll,avg_max_temp_Coll,avg_min_temp_Coll,avg_sol_Coll,avg_rr_Coll,avg_vpr_Coll
abno01,ANIC000025,-17.16667,145.65,1.8,27.12386528,17.60893116,19.55439723,19.40901236,20.74058259,26.2295357,4.528672596,20.7803091,0.8,27.1339697,17.60947475,19.28518182,5.1,20.82612727
abno02,ANIC000031,-17.25,145.6333,0.9,26.23151845,16.61213109,19.69544631,19.56071968,19.5352384,25.60097166,4.091007905,19.58178726,0,26.18516129,16.67144673,19.70678397,4.293890518,19.70466127
ambl01,PicXB64840,-33.725492,151.079714,5.2,23.34758431,12.35568182,15.838761,15.84255662,14.28000703,20.59494035,2.481928152,14.26599725,2.1,23.273739,12.66940616,15.56027859,3.155718475,14.63522617
ambl02,PicXB64844,-33.799907,151.181995,4.2,23.22899194,13.12540689,15.88468842,15.85384831,14.585545,20.30454975,2.73702346,14.56711949,1,22.83583333,13.21141667,15.56749242,4.577954545,14.52940303
anom01,PicXB54397,-12.3568,130.8748,42,33.36672266,23.05692688,21.29512516,21.41576157,24.87837499,20.18111774,4.312384717,24.65334553,13.2,33.42107071,23.09894949,21.57079798,3.619191919,25.0300303
anom02,anom02,-19.233,146.09,6.6,27.68736907,17.36603261,20.16295949,20.28571864,18.65685807,19.89694106,2.210227273,18.9323478,1.6,27.6716129,17.6673827,19.70187683,2.464002933,19.24012206
anom03,ANIC057768,-12.3524,130.876,42,33.36672266,23.05692688,21.29512516,21.41576157,24.87837499,20.18343132,4.312384717,24.65334553,13.2,33.42107071,23.09894949,21.57079798,3.619191919,25.0300303
atki01,PicXB33952,-16.41,145.2,0,23.77482009,15.64900487,19.29774925,19.35998569,18.254845,26.75575318,7.159426537,18.33636572,0,23.64833578,15.58777126,19.42964809,6.059897361,18.23400733
atki02,PicXB33969,-16.41,145.2,0,23.77482009,15.64900487,19.29774925,19.35998569,18.254845,26.75575318,7.159426537,18.33636572,0,23.64833578,15.58777126,19.42964809,6.059897361,18.23400733
atki03,atki03,-16.47,145.22,0,24.33122001,15.93417166,19.78773051,19.82907541,18.64237376,24.9400863,6.497526237,18.72137434,0,24.4785303,15.89881061,19.53648485,6.929166667,18.75764735
