ind,size
abno01,1.539
abno02,1.612
ambl01,2.078
ambl02,1.676
anom01,1.763
anom02,1.7675
anom03,1.7675
atki01,2.459
atki02,2.018
atki03,2.2385
atki04,2.2385
aurs01,1.709
aurs02,1.719
aurs03,1.714
aurs04,1.714
boid01,2.425
boid02,2.567
boid03,2.815
boid04,2.546
boid05,2.674
brev01,2.376
brev02,2.652
brun01,1.872
brun02,1.987
brun03,2.172
brun04,2.113
brun05,1.992
brun06,1.92
brun07,2.024
brun08,2.138
brun09,2.083
brun10,2.229
brun11,2.446
brun12,2.278
clor01,2.546
clor02,2.318
clor03,2.473
clor04,2.304
clor06,2.507
clor07,2.261
clor08,2.537
clor09,2.472
clor10,2.601
clor11,2.463
clor12,2.312
clor13,2.487
clor14,2.672
clor15,2.521
clor16,2.394
clor17,2.330666667
conc01,2.294
conc02,2.257
conc03,2.102
conc04,2.25
conc05,2.175
conc06,2.175
ecry01,1.899
ecry02,2.356
ecry03,2.357
ecry04,2.204
ecry05,2.204
fchi01,1.666
fchi02,2.246
fchi03,1.956
fchi04,1.956
gray01,2.808
gray02,2.802
gray03,2.472
gray04,2.694
gray05,2.694
hirs01,2.291
hirs02,2.554
hirs03,2.113
hirs04,2.51
hirs05,2.356
hirs06,2.378
hirs07,2.487
hirs08,2.407
hirs09,2.428
hirs10,2.28
hirs11,2.478
hirs12,2.299
hirs13,2.252
hirs14,2.27
hirs15,2.321428571
hirs16,2.321428571
lats01,2.844
lats02,3.094
lats03,2.975
lats04,2.971
lats05,2.971
macl01,3.216
macl02,3.23
macl03,3.129
macl04,2.967
macl05,2.858
macl06,2.97
macl07,2.97
mcla01,3.264
mcla02,3.009
mcla03,3.1365
meli01,1.988
meli02,2.119
meli03,1.919
meli04,2.008
meli05,1.896
mima01,1.472
mima02,1.373
mont01,2.996
mont02,2.928
mont03,2.928
mont04,2.726
mont05,2.941
mont06,2.816
mult01,1.988
mult02,2.109
mult03,1.936
narm01,2.621
narm02,2.657
narm03,2.474
narm04,2.513333333
narm05,2.513333333
neba01,2.377
neba02,2.467
nebn01,2.682
nebn02,2.456
nebn03,2.409
neus01,2.819
neus02,3.406
oliv01,2.569
oliv02,2.648
opal01,2.431
opal02,2.745
opal03,2.588
pali01,2.183
pali02,2.177
pali03,1.942
pali04,1.94
pali05,2.018
pali06,2.029
pali07,1.847
pali08,2.019428571
pali09,2.019428571
pczo01,2
pczo02,1.929
pczo03,1.89
pczo05,1.954
pczp01,1.863
pczp02,2.07
pczp03,1.846
pczp04,1.925
pczp05,1.905
pczp06,1.905
pczv01,2.069
pczv02,2.01
pczv03,1.919
pczv04,1.973333333
pczv05,1.973333333
pind01,2.287
pind02,2.177
pind03,2.376
pind04,2.454
pind05,2.48
pind06,2.473
pind07,2.528
pind08,2.418
pine01,1.934
poro01,2.591
poro02,2.295
poro03,2.204
poro04,2.288
poro05,2.603
poro06,2.53
poro07,2.307
poro08,2.457
poro09,2.249
poro10,2.296
poro11,2.382
poro12,2.305
poro13,2.251
poro14,2.789
poro15,2.676
poro16,2.426538462
poro17,2.426538462
prsi01,2.093
prsi02,1.976
prsi03,1.886
prsi04,1.985
prsi05,1.985
prsi06,1.985
psqz01,1.543
psqz02,1.688
psqz03,1.666
punc01,2.177
punc02,1.885
pvul01,1.635
pvul02,1.649
pvul03,1.525
pvul04,1.686
pvul05,1.62375
pvul06,1.62375
rayn01,2.137
rayn02,2.303
rayn03,2.31
rayn04,2.25
rayn05,2.25
repa01,2.37
repa02,2.216
repa03,2.293
reps01,2.075
reps02,2.366
reps03,2.2205
rept01,2.282
rept02,1.98
rept03,1.889
rina01,2.592666667
rina02,2.52
rina03,2.714
rina04,2.544
roci01,1.68
roci02,1.809
roci03,1.687
roci04,1.564
rose01,2.207
rose02,1.708
rose03,1.811
rose04,2.078
rubi01,1.952
rubi02,2.207
rubi03,2.399
rubi04,2.388
rubi05,2.128
rubi06,2.259
rugo01,1.975
rugo02,2.071
rugo03,2.034
saul01,1.584
saul02,1.574
smgg01,2.006
smgg02,1.771
smgg03,1.82225
smgg04,1.82225
smgp01,1.696
smgr01,1.816
sqzb01,2.111
sqzb02,2.055
sqzc01,2.159
sqzc02,2.187
sqzc03,2.329
sqzm01,2.21
sqzm02,2.099
tars01,2.857
tars02,2.87
tars03,2.984
tars04,2.9
tars05,2.903666667
tars06,2.903666667
velu01,2.528
velu02,2.735
velu03,2.467
velu04,2.4
velu05,2.169
vrdi02,2.885
vrdi03,2.683
xyle01,2.447
xyle02,2.291
xyle04,2.57
xyle05,2.235
xyle06,2.351
xyle07,2.345
xyle08,2.345
xyle09,2.345
xyls01,2.408
xyls02,2.44
xyls03,2.547
