Ind,phylogeny_name
abno01,Anoplognathus_abnormis
abno02,Anoplognathus_abnormis
ambl01,NA_NA
ambl02,NA_NA
anom01,Anomala_antigua
anom02,Anomala_antigua
anom03,Anomala_antigua
atki01,Calloodes_atkinsonii
atki02,Calloodes_atkinsonii
atki03,Calloodes_atkinsonii
atki04,Calloodes_atkinsonii
aurs01,Anoplognathus_aureus
aurs02,Anoplognathus_aureus
aurs03,Anoplognathus_aureus
aurs04,Anoplognathus_aureus
boid01,Anoplognathus_boisduvalii
boid02,Anoplognathus_boisduvalii
boid03,Anoplognathus_boisduvalii
boid04,Anoplognathus_boisduvalii
boid05,Anoplognathus_boisduvalii
brev01,Anoplognathus_brevicollis
brev02,Anoplognathus_brevicollis
brun01,Anoplognathus_flavipennis
brun02,Anoplognathus_flavipennis
brun03,Anoplognathus_flavipennis
brun04,Anoplognathus_flavipennis
brun05,Anoplognathus_flavipennis
brun06,Anoplognathus_flavipennis
brun07,Anoplognathus_flavipennis
brun08,Anoplognathus_flavipennis
brun09,Anoplognathus_flavipennis
brun10,Anoplognathus_flavipennis
brun11,Anoplognathus_flavipennis
brun12,Anoplognathus_flavipennis
clor01,Anoplognathus_brunnipennis
clor02,Anoplognathus_brunnipennis
clor03,Anoplognathus_brunnipennis
clor04,Anoplognathus_brunnipennis
clor06,Anoplognathus_brunnipennis
clor07,Anoplognathus_brunnipennis
clor08,Anoplognathus_brunnipennis
clor09,Anoplognathus_brunnipennis
clor10,Anoplognathus_brunnipennis
clor11,Anoplognathus_brunnipennis
clor12,Anoplognathus_brunnipennis
clor13,Anoplognathus_brunnipennis
clor14,Anoplognathus_brunnipennis
clor15,Anoplognathus_brunnipennis
clor16,Anoplognathus_brunnipennis
clor17,Anoplognathus_brunnipennis
conc01,Anoplognathus_concolor
conc02,Anoplognathus_concolor
conc03,Anoplognathus_concolor
conc04,Anoplognathus_concolor
conc05,Anoplognathus_concolor
conc06,Anoplognathus_concolor
ecry01,Epichrysus_lamprimoides
ecry02,Epichrysus_lamprimoides
ecry03,Epichrysus_lamprimoides
ecry04,Epichrysus_lamprimoides
ecry05,Epichrysus_lamprimoides
fchi01,Calloodes_frenchii
fchi02,Calloodes_frenchii
fchi03,Calloodes_frenchii
fchi04,Calloodes_frenchii
gray01,Calloodes_grayanus
gray02,Calloodes_grayanus
gray03,Calloodes_grayanus
gray04,Calloodes_grayanus
gray05,Calloodes_grayanus
hirs01,Anoplognathus_hirsutus
hirs02,Anoplognathus_hirsutus
hirs03,Anoplognathus_hirsutus
hirs04,Anoplognathus_hirsutus
hirs05,Anoplognathus_hirsutus
hirs06,Anoplognathus_hirsutus
hirs07,Anoplognathus_hirsutus
hirs08,Anoplognathus_hirsutus
hirs09,Anoplognathus_hirsutus
hirs10,Anoplognathus_hirsutus
hirs11,Anoplognathus_hirsutus
hirs12,Anoplognathus_hirsutus
hirs13,Anoplognathus_hirsutus
hirs14,Anoplognathus_hirsutus
hirs15,Anoplognathus_hirsutus
hirs16,Anoplognathus_hirsutus
lats01,Anoplostethus_laetus
lats02,Anoplostethus_laetus
lats03,Anoplostethus_laetus
lats04,Anoplostethus_laetus
lats05,Anoplostethus_laetus
macl01,Anoplognathus_macleayi
macl02,Anoplognathus_macleayi
macl03,Anoplognathus_macleayi
macl04,Anoplognathus_macleayi
macl05,Anoplognathus_macleayi
macl06,Anoplognathus_macleayi
macl07,Anoplognathus_macleayi
mcla01,Anoplognathus_macleayi
mcla02,Anoplognathus_macleayi
mcla03,Anoplognathus_macleayi
meli01,Anoplognathus_daemeli
meli02,Anoplognathus_daemeli
meli03,Anoplognathus_daemeli
meli04,Anoplognathus_daemeli
meli05,Anoplognathus_daemeli
mima01,Mimadoretus_niveosquamosus
mima02,Mimadoretus_niveosquamosus
mont01,Anoplognathus_montanus
mont02,Anoplognathus_montanus
mont03,Anoplognathus_montanus
mont04,Anoplognathus_montanus
mont05,Anoplognathus_montanus
mont06,Anoplognathus_montanus
mult01,Anoplognathus_multiseriatus
mult02,Anoplognathus_multiseriatus
mult03,Anoplognathus_multiseriatus
narm01,Anoplognathus_narmarus
narm02,Anoplognathus_narmarus
narm03,Anoplognathus_narmarus
narm04,Anoplognathus_narmarus
narm05,Anoplognathus_narmarus
neba01,Anoplognathus_nebulosus
neba02,Anoplognathus_nebulosus
nebn01,Anoplognathus_nebulosus
nebn02,Anoplognathus_nebulosus
nebn03,Anoplognathus_nebulosus
neus01,Anoplognathus_aeneus
neus02,Anoplognathus_aeneus
oliv01,Anoplognathus_olivieri
oliv02,Anoplognathus_olivieri
opal01,Anoplostethus_opalinus
opal02,Anoplostethus_opalinus
opal03,Anoplostethus_opalinus
pali01,Anoplognathus_pallidicollis
pali02,Anoplognathus_pallidicollis
pali03,Anoplognathus_pallidicollis
pali04,Anoplognathus_pallidicollis
pali05,Anoplognathus_pallidicollis
pali06,Anoplognathus_pallidicollis
pali07,Anoplognathus_pallidicollis
pali08,Anoplognathus_pallidicollis
pali09,Anoplognathus_pallidicollis
pczo01,Paraschizognathus_ocularis
pczo02,Paraschizognathus_ocularis
pczo03,Paraschizognathus_ocularis
pczo05,Paraschizognathus_ocularis
pczp01,Paraschizognathus_prasinus
pczp02,Paraschizognathus_prasinus
pczp03,Paraschizognathus_prasinus
pczp04,Paraschizognathus_prasinus
pczp05,Paraschizognathus_prasinus
pczp06,Paraschizognathus_prasinus
pczv01,Paraschizognathus_olivaceous
pczv02,Paraschizognathus_olivaceous
pczv03,Paraschizognathus_olivaceous
pczv04,Paraschizognathus_olivaceous
pczv05,Paraschizognathus_olivaceous
pind01,Anoplognathus_pindarus
pind02,Anoplognathus_pindarus
pind03,Anoplognathus_pindarus
pind04,Anoplognathus_pindarus
pind05,Anoplognathus_pindarus
pind06,Anoplognathus_pindarus
pind07,Anoplognathus_pindarus
pind08,Anoplognathus_pindarus
