spp,reg,Latitude,Longitude,ALA.month,picode,colection.month,batch,NameinHR,NameinTree,NPPMean,fractionalCoverBareSoil20120305,leafAreaIndexLAI20120305,fractionOfPhotosyntheticallyActiveRadiationFPAR,aridityIndexAnnualMean,growthIndexC3MacrothermPlantsAnnualMean,growthIndexC3MesothermPlantsAnnualMean,growthIndexC4MegathermPlantsAnnualMean
abno01,ANIC000025,-17.17,145.65,12,PicXB54412,11,original,NA,Anoplognathus_abnormis,17,NA,1.2,46,1.1991991,0.41,0.67,0.3
abno02,ANIC000031,-17.25,145.63,12,PicXB54409,12,original,NA,Anoplognathus_abnormis,19,NA,4.5,86,1.2298372,0.41,0.7,0.3
ambl01,PicXB64840,-33.73,151.08,12,PicXB64840,10,original,NA,NA_NA,19,26,1.4,58,0.91975087,0.2,0.56,0.14
ambl02,PicXB64844,-33.8,151.18,12,PicXB64844,9,original,NA,NA_NA,0,34,NA,NA,0.9671895,0.22,0.6,0.15
anom01,PicXB54397,-12.36,130.87,12,PicXB54397,11,original,NA,NA_NA,3,NA,NA,NA,0.7689692,0.48,0.16,0.45
anom02,NA,-19.23,146.09,12,NA,12,HR,anom2,NA_NA,8,NA,0.8,29,0.48203707,0.36,0.43,0.29
anom03,ANIC057768,-12.35,130.88,12,NA,11,HR,anom1,NA_NA,3,NA,0.6,26,0.7689692,0.48,0.16,0.45
atki01,PicXB33952,-16.41,145.2,5,PicXB33952,1,original,NA,Calloodes_atkinsonii,15,NA,5.3,89,1.6165289,0.34,0.74,0.24
atki02,PicXB33969,-16.41,145.2,5,PicXB33969,1,original,NA,Calloodes_atkinsonii,15,NA,5.3,89,1.6165289,0.34,0.74,0.24
atki03,NA,-16.47,145.22,5,NA,11,HR,atki1,Calloodes_atkinsonii,13,NA,1.3,48,1.4510267,0.35,0.73,0.25
atki04,NA,-15.03,145.09,5,NA,5,HR,atki2,Calloodes_atkinsonii,12,NA,2.1,63,0.84661484,0.47,0.36,0.4
aurs01,ANIC000244,-17.05,145.83,1,PicXB44076,1,original,NA,Anoplognathus_aureus,10,NA,0.7,30,1.2593485,0.58,0.53,0.47
aurs02,ANIC000205,-17.05,145.83,1,PicXB44080,1,original,NA,Anoplognathus_aureus,10,NA,0.7,30,1.2593485,0.58,0.53,0.47
aurs03,ANIC000260,-16.88,145.68,1,NA,12,HR,aurs1,Anoplognathus_aureus,9,NA,1.5,54,1.004579,0.52,0.48,0.43
aurs04,ANIC000261,-16.88,145.68,1,NA,12,HR,aurs2,Anoplognathus_aureus,9,NA,1.5,54,1.004579,0.52,0.48,0.43
boid01,ANIC000331,-16.62,145.2,1,PicXB54352,1,original,NA,Anoplognathus_boisduvalii,8,0,1.2,42,0.5341794,0.38,0.37,0.31
boid02,ANIC000339,-17.05,145.8,1,PicXB54355,12,original,NA,Anoplognathus_boisduvalii,9,NA,1.6,55,1.1177609,0.55,0.46,0.46
boid03,ANIC000366,-16.92,145.77,1,PicXB54358,1,original,NA,Anoplognathus_boisduvalii,0,NA,NA,NA,1.1045061,0.56,0.45,0.47
boid04,ANIC000326,-17,145.43,1,PicXB54361,11,original,NA,Anoplognathus_boisduvalii,9,NA,1,42,0.5277148,0.37,0.37,0.3
boid05,ANIC000344,-23.72,150.7,1,PicXB54364,12,original,NA,Anoplognathus_boisduvalii,7,2,2.4,66,0.42639482,0.3,0.32,0.25
brev01,ANIC000559,-13.82,131.83,5,PicXB54367,3,original,NA,Anoplognathus_brevicollis,5,NA,1,43,0.5987648,0.44,0.18,0.4
brev02,ANIC000558,-13.82,131.83,5,PicXB54371,3,original,NA,Anoplognathus_brevicollis,5,NA,1,43,0.5987648,0.44,0.18,0.4
brun01,ANIC000610,-32.97,150.67,1,PicXB65063,1,original,NA,Anoplognathus_brunnipennis,7,0,1.9,65,0.534062,0.14,0.34,0.1
