Species_name,Code,ANIC Reference,Latitude,Longitude,batch,NameinHR
Anoplognathus abnormis,abno01,ANIC000025,-17.17,145.65,ThisManuscript,NA
Anoplognathus abnormis,abno02,ANIC000031,-17.25,145.63,ThisManuscript,NA
Anomala antiqua,anom01,NA,-12.36,130.87,ThisManuscript,NA
Anomala antiqua,anom02,NA,-12.35,130.88,PrettyCoolBeetles,anom2
Anomala antiqua,anom03,NA,-19.23,146.09,PrettyCoolBeetles,anom1
Calloodes atkinsonii,atki01,NA,-16.41,145.2,ThisManuscript,NA
Calloodes atkinsonii,atki02,NA,-16.41,145.2,ThisManuscript,NA
Calloodes atkinsonii,atki03,NA,-16.47,145.22,PrettyCoolBeetles,atki1
Calloodes atkinsonii,atki04,NA,-15.03,145.09,PrettyCoolBeetles,atki2
Anoplognathus aureus,aurs01,ANIC000244,-17.05,145.83,ThisManuscript,NA
Anoplognathus aureus,aurs02,ANIC000205,-17.05,145.83,ThisManuscript,NA
Anoplognathus aureus,aurs03,ANIC000260,-16.88,145.68,PrettyCoolBeetles,aurs1
Anoplognathus aureus,aurs04,ANIC000261,-16.88,145.68,PrettyCoolBeetles,aurs2
Anoplognathus boisduvalii,boid01,ANIC000331,-16.62,145.2,ThisManuscript,NA
Anoplognathus boisduvalii,boid02,ANIC000339,-17.05,145.8,ThisManuscript,NA
Anoplognathus boisduvalii,boid03,ANIC000366,-16.92,145.77,ThisManuscript,NA
Anoplognathus boisduvalii,boid04,ANIC000326,-17,145.43,ThisManuscript,NA
Anoplognathus boisduvalii,boid05,ANIC000344,-23.72,150.7,ThisManuscript,NA
Anoplognathus brevicollis,brev01,ANIC000559,-13.82,131.83,ThisManuscript,NA
Anoplognathus brevicollis,brev02,ANIC000558,-13.82,131.83,ThisManuscript,NA
Anoplognathus flavipennis,brun01,ANIC000610,-32.97,150.67,ThisManuscript,NA
Anoplognathus flavipennis,brun02,ANIC000611,-32.97,150.67,ThisManuscript,NA
Anoplognathus flavipennis,brun03,ANIC000612,-32.97,150.67,ThisManuscript,NA
Anoplognathus flavipennis,brun04,ANIC000613,-33.38,150.98,ThisManuscript,NA
Anoplognathus flavipennis,brun05,ANIC000616,-32.97,150.67,ThisManuscript,NA
Anoplognathus flavipennis,brun06,ANIC000617,-32.97,150.67,ThisManuscript,NA
Anoplognathus flavipennis,brun07,ANIC000639,-33.25,150.67,ThisManuscript,NA
Anoplognathus flavipennis,brun08,ANIC000640,-31.4,152.12,ThisManuscript,NA
Anoplognathus flavipennis,brun09,ANIC000641,-28.77,151.85,ThisManuscript,NA
Anoplognathus flavipennis,brun10,ANIC000644,-28.77,151.85,ThisManuscript,NA
Anoplognathus flavipennis,brun11,ANIC000645,-28.77,151.85,ThisManuscript,NA
Anoplognathus flavipennis,brun12,ANIC000650,-31.45,152.73,ThisManuscript,NA
Anoplognathus brunnipennis,clor01,ANIC000913,-30.6,151.55,ThisManuscript,NA
Anoplognathus brunnipennis,clor02,ANIC000915,-30.6,151.55,ThisManuscript,NA
Anoplognathus brunnipennis,clor03,ANIC000919,-30.52,151.67,ThisManuscript,NA
Anoplognathus brunnipennis,clor04,ANIC000859,-35.4,149.1,ThisManuscript,NA
Anoplognathus brunnipennis,clor06,ANIC000868,-28.77,151.85,ThisManuscript,NA
Anoplognathus brunnipennis,clor07,ANIC000869,-28.77,151.85,ThisManuscript,NA
Anoplognathus brunnipennis,clor08,ANIC000870,-28.77,151.85,ThisManuscript,NA
Anoplognathus brunnipennis,clor09,ANIC000871,-28.77,151.85,ThisManuscript,NA
Anoplognathus brunnipennis,clor10,ANIC000874,-28.77,151.85,ThisManuscript,NA
Anoplognathus brunnipennis,clor11,ANIC000963,-37.95,147.12,ThisManuscript,NA
Anoplognathus brunnipennis,clor12,ANIC000964,-37.95,147.12,ThisManuscript,NA
Anoplognathus brunnipennis,clor13,ANIC000965,-37.95,147.12,ThisManuscript,NA
Anoplognathus brunnipennis,clor14,ANIC002571,-28.77,151.85,ThisManuscript,NA
Anoplognathus brunnipennis,clor15,ANIC002572,-28.55,151.83,ThisManuscript,NA
Anoplognathus brunnipennis,clor16,ANIC002575,-28.55,151.83,ThisManuscript,NA
Anoplognathus brunnipennis,clor17,ANIC000962,-30.6,151.55,PrettyCoolBeetles,clor1
Anoplognathus concolor,conc01,ANIC002674,-32.13,151.45,ThisManuscript,NA
Anoplognathus concolor,conc02,ANIC002675,-32.13,151.45,ThisManuscript,NA
Anoplognathus concolor,conc03,ANIC002676,-32.13,151.45,ThisManuscript,NA
Anoplognathus concolor,conc04,ANIC002682,-30.38,153.03,ThisManuscript,NA
Anoplognathus concolor,conc05,ANIC002611,-28.33,153.33,PrettyCoolBeetles,conc1
Anoplognathus concolor,conc06,ANIC002612,-32.17,151.5,PrettyCoolBeetles,conc2
Epichrysus lamprimoides,ecry01,NA,-35.03,117.88,ThisManuscript,NA
Epichrysus lamprimoides,ecry02,NA,-35.03,117.88,ThisManuscript,NA
Epichrysus lamprimoides,ecry03,NA,-35.03,117.88,ThisManuscript,NA
Epichrysus lamprimoides,ecry04,NA,-34.96,117.86,PrettyCoolBeetles,ecry1
Epichrysus lamprimoides,ecry05,NA,-34.96,117.86,PrettyCoolBeetles,ecry2
Calloodes frenchii,fchi01,NA,-11.45,142.35,ThisManuscript,NA
Calloodes frenchii,fchi02,NA,-11.45,142.35,ThisManuscript,NA
Calloodes frenchii,fchi03,NA,-11.39,142.27,PrettyCoolBeetles,fchi1
Calloodes frenchii,fchi04,NA,-11.39,142.27,PrettyCoolBeetles,fchi2
Calloodes grayanus,gray01,NA,-12.19,133.19,ThisManuscript,NA
Calloodes grayanus,gray02,NA,-17.4,123.73,ThisManuscript,NA
Calloodes grayanus,gray03,NA,-14.31,132.22,ThisManuscript,NA
Calloodes grayanus,gray04,NA,-18.96,144.99,PrettyCoolBeetles,gray1
Calloodes grayanus,gray05,NA,-17.69,123.6,PrettyCoolBeetles,gray2
