"","ind","R_ALL","R_VIS","R_NIR","Res","size","phylogeny_name","PC1","PC2","phylogeny_name.1"
"1","abno01",24.3695872084033,15.1949495076495,32.3749902402576,-9.82583427303028,1.539,"Anoplognathus_abnormis",-2.14416330894895,0.0715638151758317,"Anoplognathus_abnormis"
"2","abno02",30.1720310984826,17.8651166083228,40.9096732597511,-3.91774211691345,1.612,"Anoplognathus_abnormis",-1.82273616116647,0.160833457658041,"Anoplognathus_abnormis"
"3","anom01",17.2595452302233,2.22902841524388,30.3329195178889,0.886416585444356,1.763,"Anomala_antigua",-2.30161345968268,-2.27652672202524,"Anomala_antigua"
"4","anom02",19.9313227670833,7.88818847012163,30.4090978319106,-4.60420954913193,1.7675,"Anomala_antigua",-0.38550339251646,-1.15167810795663,"Anomala_antigua"
"5","anom03",14.521099039854,3.5286143425441,24.0774229744343,-6.64745707604117,1.7675,"Anomala_antigua",-2.30177206702193,-2.27639269855667,"Anomala_antigua"
"6","atki01",15.5216614138997,6.19436575393224,23.6173361206237,-9.7297911665209,2.459,"Calloodes_atkinsonii",-2.74140577938562,1.08031738654656,"Calloodes_atkinsonii"
"7","atki02",18.7343654649161,6.63692471636221,29.2378504627534,-4.54461337202937,2.018,"Calloodes_atkinsonii",-2.74140577938562,1.08031738654656,"Calloodes_atkinsonii"
"8","atki03",13.6795945834456,6.2240321422414,20.1539908920954,-13.2223186377869,2.2385,"Calloodes_atkinsonii",-2.43104976918833,0.610500441941209,"Calloodes_atkinsonii"
"9","atki04",17.1681007375652,8.27748348836381,24.8905666431757,-10.505682591137,2.2385,"Calloodes_atkinsonii",-2.28579572230662,-0.887079759162274,"Calloodes_atkinsonii"
"10","aurs01",40.7453656013245,34.0193791457484,46.6274133737273,-14.0906323588766,1.709,"Anoplognathus_aureus",-3.49399728420739,-0.433543209086466,"Anoplognathus_aureus"
"11","aurs02",44.5216234343934,35.4350801327161,52.460078234074,-9.65056471714781,1.719,"Anoplognathus_aureus",-3.49399728420739,-0.433543209086466,"Anoplognathus_aureus"
"12","aurs03",48.1689459687773,33.6732142975422,60.8271115178143,0.449581338447317,1.714,"Anoplognathus_aureus",-2.75072934913335,-0.390180315677912,"Anoplognathus_aureus"
"13","aurs04",46.3142080719374,34.1973048435968,56.8994997569087,-3.99356798544527,1.714,"Anoplognathus_aureus",-2.75072934913335,-0.390180315677912,"Anoplognathus_aureus"
"14","boid01",35.863384906224,21.6362904026759,48.2756981725863,-0.261346698784973,2.425,"Anoplognathus_boisduvalii",-1.01891410029527,-1.26767076167327,"Anoplognathus_boisduvalii"
"15","boid02",28.5089787821201,12.9307457927238,42.0848455724309,2.11127372394724,2.567,"Anoplognathus_boisduvalii",-3.16446705206415,-0.515028838130989,"Anoplognathus_boisduvalii"
"16","boid03",40.1916082357492,23.592766050513,54.6759644353481,4.2143729467513,2.815,"Anoplognathus_boisduvalii",-2.86810576249914,-0.442037236363915,"Anoplognathus_boisduvalii"
"17","boid04",29.5826641391402,19.4787358440431,38.3847909318262,-8.02990995234193,2.546,"Anoplognathus_boisduvalii",-0.918500897575219,-1.258841215652,"Anoplognathus_boisduvalii"
"18","boid05",21.5756225506393,8.87669875952217,32.6388508296385,-3.34683468228521,2.674,"Anoplognathus_boisduvalii",-0.206639157496852,-1.12661514519923,"Anoplognathus_boisduvalii"
"19","brev01",27.7002123218334,11.9595272030524,41.4318536027783,2.41365038022419,2.376,"Anoplognathus_brevicollis",-1.14520833994408,-3.62691932578242,"Anoplognathus_brevicollis"
"20","brev02",27.1777878443222,13.7790571920128,38.8668325287746,-1.94120655964648,2.652,"Anoplognathus_brevicollis",-1.14520833994408,-3.62691932578242,"Anoplognathus_brevicollis"
"21","brun01",32.9421203204455,13.5354132358356,49.8609053878167,9.29253406739805,1.872,"Anoplognathus_flavipennis",0.915578957884704,0.681555711945997,"Anoplognathus_flavipennis"
"22","brun02",35.3676798579742,16.3429924445514,51.9570632986494,8.62693152662472,1.987,"Anoplognathus_flavipennis",0.915578957884704,0.681555711945997,"Anoplognathus_flavipennis"
"23","brun03",27.2263065210991,9.38980645701474,42.7766818361515,6.28626237337412,2.172,"Anoplognathus_flavipennis",0.915578957884704,0.681555711945997,"Anoplognathus_flavipennis"
"24","brun04",31.4952977136275,9.89186717945377,50.3214974004762,13.337210678947,2.113,"Anoplognathus_flavipennis",0.591009878505487,0.830944348535649,"Anoplognathus_flavipennis"
"25","brun05",27.2234499921458,11.7761965241706,40.6863092294958,1.84844479023596,1.992,"Anoplognathus_flavipennis",0.915578957884704,0.681555711945997,"Anoplognathus_flavipennis"
