"","phylogeny_name","size","TOT","VIS","NIR"
"Anomala_antigua","Anomala_antigua",1.7675,61.2120459592237,88.4983848444089,37.4574121376336
"Anoplognathus_aureus","Anoplognathus_aureus",1.714,31.1647129597986,55.9297484756369,9.55775583634317
"Anoplognathus_brunnipennis","Anoplognathus_brunnipennis",2.330666667,44.6883025600525,68.8898670193364,23.58903116759
"Anoplognathus_concolor","Anoplognathus_concolor",2.175,38.2617252256332,65.3537009023945,14.6280719685112
"Anoplognathus_hirsutus","Anoplognathus_hirsutus",2.321428571,56.1160806569958,79.4974039249109,35.7323884089223
"Anoplognathus_macleayi","Anoplognathus_macleayi",3.0255,54.5920221272848,75.9028562441585,36.0070101552698
"Anoplognathus_narmarus","Anoplognathus_narmarus",2.513333333,67.1585704609119,85.8264474116245,50.879285138853
"Anoplognathus_pallidicollis","Anoplognathus_pallidicollis",2.019428571,61.205915360043,82.7494359839849,42.4219750069836
"Anoplognathus_parvulus","Anoplognathus_parvulus",1.62375,32.9412698434261,58.5537748083021,10.614252295477
"Anoplognathus_porosus","Anoplognathus_porosus",2.426538462,57.0785020294789,78.6879694555929,38.2339316638034
"Anoplognathus_prasinus","Anoplognathus_prasinus",1.985,54.349434523136,80.1757167871363,31.8348626325018
"Anoplognathus_smaragdinus","Anoplognathus_smaragdinus",1.82225,64.677750207232,90.7652829270162,41.9695314906354
"Anoplognathus_viriditarsis","Anoplognathus_viriditarsis",2.903666667,53.637692310199,76.1913560578609,33.9791851752643
"Anoplostethus_laetus","Anoplostethus_laetus",2.971,51.7359940739629,72.8862843577604,33.2871388303865
"Anoplostethus_opalinus","Anoplostethus_opalinus",2.588,55.9077141223449,77.5667021449697,37.0320883722766
"Calloodes_atkinsonii","Calloodes_atkinsonii",2.2385,71.2436810205644,90.6106370577887,54.4033286152924
"Calloodes_frenchii","Calloodes_frenchii",1.956,77.9551894146995,90.4841438213045,67.0721476113495
"Calloodes_grayanus","Calloodes_grayanus",2.694,67.9810500713007,87.2208239826568,51.2285593156297
"Calloodes_rayneri","Calloodes_rayneri",2.25,60.1336451455135,84.0932863390479,39.2915297783318
"Epichrysus_lamprimoides","Epichrysus_lamprimoides",2.204,50.2085308648467,75.760996649277,27.9548317800106
"Paraschizognathus_ocularis","Paraschizognathus_ocularis",1.954,43.8947808929679,73.7704335628461,17.8348127994997
"Paraschizognathus_olivaceous","Paraschizognathus_olivaceous",1.973333333,47.7397905002893,74.531969212762,24.3684496878568
"Paraschizognathus_prasinus","Paraschizognathus_prasinus",1.905,54.8575761823983,83.552693430545,29.846749399759
"Repsimus_aeneus","Repsimus_aeneus",2.293,75.1445941514218,90.7091908326606,61.6179539282798
"Repsimus_manicatus","Repsimus_manicatus",2.2205,74.4204035555946,94.2689177063684,57.1683018795829
"Xylonichus_sp","Xylonichus_sp",2.345,48.4710085098524,80.7439222408894,20.3471790913444
