"","phylogeny_name","TOT","VIS","NIR","Res","size","PC1","PC2","FRS"
"Anomala_antigua","Anomala_antigua",17.2373223457202,4.5486104093032,28.2731467747446,-3.45508334657625,1.766,-1.66296297307369,-1.90153250951285,-6.92402704059347
"Anoplognathus_abnormis","Anoplognathus_abnormis",27.2708091534429,16.5300330579862,36.6423317500044,-6.87178819497186,1.5755,-1.98344973505771,0.116198636416936,-11.2333992904757
"Anoplognathus_aeneus","Anoplognathus_aeneus",22.1022108224392,10.4041396574543,32.2722159224132,-5.21598316098137,3.1125,-1.90387820453306,0.419188567457444,-9.12118891097828
"Anoplognathus_aureus","Anoplognathus_aureus",44.9375357691082,34.3312446049009,54.2035257206311,-6.82129593075559,1.714,-3.12236331667037,-0.411861762382189,-12.5091736742894
"Anoplognathus_boisduvalii","Anoplognathus_boisduvalii",31.1444517227746,17.3030473698956,43.212029988366,-1.06248893254271,2.6054,-1.63532539398613,-0.922038639403881,-5.48169291140924
"Anoplognathus_brevicollis","Anoplognathus_brevicollis",27.4390000830778,12.8692921975326,40.1493430657764,0.236221910288855,2.514,-1.14520833994408,-3.62691932578242,-3.85264828229923
"Anoplognathus_brunnipennis","Anoplognathus_brunnipennis",25.5760640055813,12.6784378179681,36.8156024660813,-2.90977898971743,2.4499166666875,1.21003444677789,0.460779228483085,-6.98442971204199
"Anoplognathus_concolor","Anoplognathus_concolor",32.3281161477872,15.4939345027977,47.0141892420741,4.51925906912738,2.20883333333333,-0.149100564981505,1.42791279570562,0.234841762046088
"Anoplognathus_daemeli","Anoplognathus_daemeli",26.1918199174099,14.9516612533111,35.9964414031483,-5.96506523904039,1.986,-3.10163392232571,-0.313792565407716,-10.2090808620555
"Anoplognathus_flavipennis","Anoplognathus_flavipennis",30.0617824016477,13.5163767376573,44.4848720856879,3.93522659414091,2.1045,0.719620581625789,0.706099793323476,-0.201854173427535
"Anoplognathus_hirsutus","Anoplognathus_hirsutus",24.4651417774665,10.8021170003456,36.3697307508252,-1.50995081784359,2.359116071375,1.12083480024466,1.05454152231303,-5.44480758766898
"Anoplognathus_macleayi","Anoplognathus_macleayi",38.9933195334305,22.6171648105475,53.2778339777514,3.77592224198586,3.07495,2.48891154848728,-3.87690821619189,-1.03920628991887
"Anoplognathus_mcalpinei","Anoplognathus_mcalpinei",21.3888709202437,10.4771506259173,30.885987121529,-6.67403141565279,1.934,-2.9213121444457,-0.919655160075895,-10.5846767961017
"Anoplognathus_montanus","Anoplognathus_montanus",30.7180208177822,18.4840479788587,41.3860757375992,-4.05017025588206,2.88916666666667,1.39187385662588,0.0372638076685214,-8.55736384797478
"Anoplognathus_multiseriatus","Anoplognathus_multiseriatus",21.7916893701572,9.67849044468075,32.3333565136475,-4.44103571031602,2.011,-1.10588851037647,0.145445347245909,-8.29217748008698
"Anoplognathus_narmarus","Anoplognathus_narmarus",36.9770310893031,19.9554021556815,51.8288087507813,4.94522059034,2.5557333332,2.4565427983409,-1.56915495856192,0.328404798262923
"Anoplognathus_nebulosus","Anoplognathus_nebulosus",33.5929922105675,20.1098899956043,45.3568140070756,-1.67874080322139,2.4782,-1.35774318875528,-2.47775288053108,-6.30706660230421
"Anoplognathus_olivieri","Anoplognathus_olivieri",42.1795026833829,29.5250023397479,53.2229798225052,-3.07403583589985,2.6085,-0.612048658125446,0.932537414435671,-8.40382790634197
"Anoplognathus_pallidicollis","Anoplognathus_pallidicollis",30.8746696416351,15.332559031411,44.4313949512607,2.09520665578313,2.01942857133333,1.48500088669145,-0.33506716636105,-2.17718748619243
"Anoplognathus_parvulus","Anoplognathus_parvulus",36.403236822374,27.5452498701355,44.1241324907908,-10.2254395985882,1.62375,-1.19635285146276,-1.29089056151228,-15.4077316146165
"Anoplognathus_pindarus","Anoplognathus_pindarus",28.0466359491742,12.7954191007471,41.3439255858358,1.50347194281122,2.399125,1.43615747241437,0.593449448765812,-2.57989438706538
"Anoplognathus_porosus","Anoplognathus_porosus",28.1818791063506,13.0572551616164,41.366175892118,1.26815926548509,2.41623981905882,0.452465046028612,0.374661819150765,-2.83471497450577
"Anoplognathus_prasinus","Anoplognathus_prasinus",45.9326545094025,16.4883659450061,71.5981379259187,28.1250051005236,1.985,-1.11295295028738,1.19164903571581,23.7664983837368
"Anoplognathus_punctulatus","Anoplognathus_punctulatus",24.0063352573258,9.2189981265107,36.875532950755,0.553134283446768,2.031,-2.03888222127815,-0.227753160698641,-3.26377333686707
"Anoplognathus_rhinastus","Anoplognathus_rhinastus",25.3667629862627,12.4607724042335,36.6146274535307,-2.89664081555236,2.59266666675,-0.341654431408614,0.0159929484582754,-6.95507453051732
"Anoplognathus_rothschildti","Anoplognathus_rothschildti",30.0495478084952,17.9500441834472,40.6000832252167,-4.31087373684683,1.685,-1.40677270002921,0.447096137453238,-8.77828175468753
"Anoplognathus_rugosus","Anoplognathus_rugosus",19.309064829984,4.39976685653341,32.2955214265602,0.71370578082747,2.02666666666667,0.755312197800627,1.70165458592388,-2.74414842979741
"Anoplognathus_smaragdinus","Anoplognathus_smaragdinus",20.7875752794094,6.12921128087854,33.5393686088891,0.256332495509598,1.82225,-3.67269341619868,0.01889137453648,-3.33037274604573
"Anoplognathus_suturalis","Anoplognathus_suturalis",23.9324058032983,11.4609907434122,34.8042470438838,-3.7235556679228,2.22216666666667,1.31382971104538,1.21964229866656,-7.70750135893701
"Anoplognathus_velutinus","Anoplognathus_velutinus",30.2509053010438,14.6313162620515,43.8717634668293,2.22537389239226,2.4598,1.71236154102422,-0.511511690133152,-1.99477465412356
"Anoplognathus_viridiaeneus","Anoplognathus_viridiaeneus",23.4069999952081,14.8394810895085,30.8682959392304,-10.9828612820469,2.784,-0.505968807514733,0.442589659197961,-15.2185190014762
"Anoplognathus_viriditarsis","Anoplognathus_viriditarsis",31.0844796300456,17.0335085892071,43.3373884114496,-0.671990511852403,2.90305555566667,0.69070084254716,0.677978698624812,-5.07111269492454
"Anoplostethus_laetus","Anoplostethus_laetus",36.7054885074521,21.0496215686822,50.3587410928852,2.39879081563401,2.971,-1.78302834173008,-0.168561120055582,-2.29954901817838
"Anoplostethus_opalinus","Anoplostethus_opalinus",27.4259566872686,17.1207839392139,36.3989365647281,-7.69629340395153,2.588,1.18885881624531,-0.816914932876398,-12.1019179751114
"Anoplostethus_roseus","Anoplostethus_roseus",34.8910911831749,25.1219680893327,43.4228722870495,-8.54296517267327,1.951,-1.94015018308762,-2.822764770546,-13.5447122973504
"Calloodes_atkinsonii","Calloodes_atkinsonii",16.2759305499566,6.83320152522491,24.4749360296621,-9.50060144186854,2.2385,-2.54991426256655,0.471013863968014,-13.13975697756
"Calloodes_frenchii","Calloodes_frenchii",17.8799527722859,9.60563976579825,25.0675567587093,-11.6351736851749,1.956,-2.9274389035908,-1.09424287861389,-15.4808877667555
"Calloodes_grayanus","Calloodes_grayanus",26.4127911142991,13.4155630047049,37.7253867102709,-2.72509029485099,2.694,-0.188954879915791,-5.20274631858474,-6.85466000670699
"Calloodes_rayneri","Calloodes_rayneri",18.2018999743258,9.40226254432558,25.8361382880603,-10.6665339828338,2.25,-0.749839938512762,-0.729090939235907,-14.4970955886911
"Epichrysus_lamprimoides","Epichrysus_lamprimoides",26.4941046924999,19.2520364423555,32.7895785326977,-13.4021226084748,2.204,0.73928361892752,1.3897271038115,-17.9665346366568
"Mimadoretus_niveosquamosus","Mimadoretus_niveosquamosus",20.7587921507802,4.26380808758115,35.1116103559053,3.66353467732146,1.4225,-2.23341809148851,-0.31486708689428,0.215809978403833
"Paraschizognathus_ocularis","Paraschizognathus_ocularis",26.1847724416373,8.65724055948578,41.4690996168369,5.69929082025556,1.94325,-0.374078565131914,1.24009772076816,1.92423654927471
