"","ind","Polarization","spp","phylogeny_name"
"1","abno01",0.0563175768275163,"abno","Anoplognathus_abnormis"
"2","abno02",0.072289793075562,"abno","Anoplognathus_abnormis"
"3","anom01",0.136467530748957,"anom","Anomala_antigua"
"4","anom02",0.185471909928326,"anom","Anomala_antigua"
"5","atki01",0.305831216818775,"atki","Calloodes_atkinsonii"
"6","atki02",0.303554191193095,"atki","Calloodes_atkinsonii"
"7","aurs01",0.157498739894071,"aurs","Anoplognathus_aureus"
"8","aurs02",0.253712447961832,"aurs","Anoplognathus_aureus"
"9","boid01",0.038510215306406,"boid","Anoplognathus_boisduvalii"
"10","boid02",0.0992745401752739,"boid","Anoplognathus_boisduvalii"
"11","boid03",0.0672924267333977,"boid","Anoplognathus_boisduvalii"
"12","boid04",0.114422467254213,"boid","Anoplognathus_boisduvalii"
"13","boid05",0.122845420988915,"boid","Anoplognathus_boisduvalii"
"14","brev01",0.0807891790788736,"brev","Anoplognathus_brevicollis"
"15","brev02",0.0934648008942399,"brev","Anoplognathus_brevicollis"
"16","brun01",-0.0534436241178579,"brun","Anoplognathus_flavipennis"
"17","brun04",-0.0678718282273361,"brun","Anoplognathus_flavipennis"
"18","brun05",-0.0512715883944829,"brun","Anoplognathus_flavipennis"
"19","clor07",-0.0823808557832843,"clor","Anoplognathus_brunnipennis"
"20","clor08",-0.0963816761233785,"clor","Anoplognathus_brunnipennis"
"21","clor09",-0.169256455399992,"clor","Anoplognathus_brunnipennis"
"22","conc01",-0.0430155431126923,"conc","Anoplognathus_concolor"
"23","conc03",-0.0169763728060377,"conc","Anoplognathus_concolor"
"24","ecry01",0.14283117464925,"ecry","Epichrysus_lamprimoides"
"25","ecry02",0.311277085318578,"ecry","Epichrysus_lamprimoides"
"26","ecry03",0.22546473268492,"ecry","Epichrysus_lamprimoides"
"27","fchi01",0.36712887980481,"fchi","Calloodes_frenchii"
"28","fchi02",0.471867427159769,"fchi","Calloodes_frenchii"
"29","gray01",0.136116558952885,"gray","Calloodes_grayanus"
"30","gray02",0.167110936301916,"gray","Calloodes_grayanus"
"31","gray03",0.127179852783728,"gray","Calloodes_grayanus"
"32","hirs01",-0.0507636520353787,"hirs","Anoplognathus_hirsutus"
"33","hirs02",-0.0969720333781756,"hirs","Anoplognathus_hirsutus"
"34","hirs03",-0.11274761185488,"hirs","Anoplognathus_hirsutus"
"35","hirs04",-0.0634865392253849,"hirs","Anoplognathus_hirsutus"
"36","hirs05",-0.0387883940199322,"hirs","Anoplognathus_hirsutus"
"37","hirs06",-0.0754976157265595,"hirs","Anoplognathus_hirsutus"
"38","hirs07",-0.0852882018286234,"hirs","Anoplognathus_hirsutus"
"39","hirs08",-0.0204673129625956,"hirs","Anoplognathus_hirsutus"
"40","hirs09",-0.12795972563464,"hirs","Anoplognathus_hirsutus"
"41","hirs10",-0.0665401262325679,"hirs","Anoplognathus_hirsutus"
"42","hirs11",-0.0648403483956789,"hirs","Anoplognathus_hirsutus"
"43","hirs12",-0.0486063675514559,"hirs","Anoplognathus_hirsutus"
"44","hirs13",-0.0791299822664005,"hirs","Anoplognathus_hirsutus"
"45","hirs14",-0.119803074697988,"hirs","Anoplognathus_hirsutus"
"46","lats01",0.402025844220437,"lats","Anoplostethus_laetus"
"47","lats02",0.424924522200729,"lats","Anoplostethus_laetus"
"48","lats03",0.427598129943236,"lats","Anoplostethus_laetus"
"49","macl02",-0.0200046547434446,"macl","Anoplognathus_macleayi"
"50","macl03",-0.0161531391624899,"macl","Anoplognathus_macleayi"
"51","macl04",-0.0359342193111539,"macl","Anoplognathus_macleayi"
"52","mcla01",0.0462251111907705,"mcla","Anoplognathus_macleayi"
