"","ind","R_ALL","R_VIS","R_NIR","Res","size","phylogeny_name","PC1","PC2","spp","ElytrPol"
"1","abno01",24.3695872084033,15.1949495076495,32.3749902402576,-9.82583427303028,1.539,"Anoplognathus_abnormis",-2.14416330894895,0.0715638151758317,"abno",0.0563175768275163
"2","abno02",30.1720310984826,17.8651166083228,40.9096732597511,-3.91774211691345,1.612,"Anoplognathus_abnormis",-1.82273616116647,0.160833457658041,"abno",0.072289793075562
"3","anom01",17.2595452302233,2.22902841524388,30.3329195178889,0.886416585444356,1.763,"Anomala_antigua",-2.30161345968268,-2.27652672202524,"anom",0.136467530748957
"4","anom02",19.9313227670833,7.88818847012163,30.4090978319106,-4.60420954913193,1.7675,"Anomala_antigua",-0.38550339251646,-1.15167810795663,"anom",0.185471909928326
"5","atki01",15.5216614138997,6.19436575393224,23.6173361206237,-9.7297911665209,2.459,"Calloodes_atkinsonii",-2.74140577938562,1.08031738654656,"atki",0.305831216818775
"6","atki02",18.7343654649161,6.63692471636221,29.2378504627534,-4.54461337202937,2.018,"Calloodes_atkinsonii",-2.74140577938562,1.08031738654656,"atki",0.303554191193095
"7","aurs01",40.7453656013245,34.0193791457484,46.6274133737273,-14.0906323588766,1.709,"Anoplognathus_aureus",-3.49399728420739,-0.433543209086466,"aurs",0.157498739894071
"8","aurs02",44.5216234343934,35.4350801327161,52.460078234074,-9.65056471714781,1.719,"Anoplognathus_aureus",-3.49399728420739,-0.433543209086466,"aurs",0.253712447961832
"9","boid01",35.863384906224,21.6362904026759,48.2756981725863,-0.261346698784973,2.425,"Anoplognathus_boisduvalii",-1.01891410029527,-1.26767076167327,"boid",0.038510215306406
"10","boid02",28.5089787821201,12.9307457927238,42.0848455724309,2.11127372394724,2.567,"Anoplognathus_boisduvalii",-3.16446705206415,-0.515028838130989,"boid",0.0992745401752739
"11","boid03",40.1916082357492,23.592766050513,54.6759644353481,4.2143729467513,2.815,"Anoplognathus_boisduvalii",-2.86810576249914,-0.442037236363915,"boid",0.0672924267333977
"12","boid04",29.5826641391402,19.4787358440431,38.3847909318262,-8.02990995234193,2.546,"Anoplognathus_boisduvalii",-0.918500897575219,-1.258841215652,"boid",0.114422467254213
"13","boid05",21.5756225506393,8.87669875952217,32.6388508296385,-3.34683468228521,2.674,"Anoplognathus_boisduvalii",-0.206639157496852,-1.12661514519923,"boid",0.122845420988915
"14","brev01",27.7002123218334,11.9595272030524,41.4318536027783,2.41365038022419,2.376,"Anoplognathus_brevicollis",-1.14520833994408,-3.62691932578242,"brev",0.0807891790788736
"15","brev02",27.1777878443222,13.7790571920128,38.8668325287746,-1.94120655964648,2.652,"Anoplognathus_brevicollis",-1.14520833994408,-3.62691932578242,"brev",0.0934648008942399
"16","brun01",32.9421203204455,13.5354132358356,49.8609053878167,9.29253406739805,1.872,"Anoplognathus_flavipennis",0.915578957884704,0.681555711945997,"brun",-0.0534436241178579
"17","brun04",31.4952977136275,9.89186717945377,50.3214974004762,13.337210678947,2.113,"Anoplognathus_flavipennis",0.591009878505487,0.830944348535649,"brun",-0.0678718282273361
"18","brun05",27.2234499921458,11.7761965241706,40.6863092294958,1.84844479023596,1.992,"Anoplognathus_flavipennis",0.915578957884704,0.681555711945997,"brun",-0.0512715883944829
"19","clor07",26.4068402568868,11.7324675563895,39.1896242826315,0.394775168970407,2.261,"Anoplognathus_brunnipennis",0.982721990692992,0.135019208052988,"clor",-0.0823808557832843
"20","clor08",22.7903725321356,10.1640388862983,33.7887227557443,-3.46329392107009,2.537,"Anoplognathus_brunnipennis",0.982721990692992,0.135019208052988,"clor",-0.0963816761233785
"21","clor09",23.9190179965196,10.7642905392277,35.3726292382608,-2.46984318453047,2.472,"Anoplognathus_brunnipennis",0.982721990692992,0.135019208052988,"clor",-0.169256455399992
"22","conc01",41.2367745666999,18.9959796062618,60.6352554299256,14.6954323626082,2.294,"Anoplognathus_concolor",0.313178865758963,1.76554260954081,"conc",-0.0430155431126923
"23","conc03",35.663428700137,20.6055767703622,48.8085330676849,1.28538092561525,2.102,"Anoplognathus_concolor",0.313178865758963,1.76554260954081,"conc",-0.0169763728060377
"24","ecry01",24.9284978018214,20.5570485430271,28.7166540460265,-18.758761833207,1.899,"Epichrysus_lamprimoides",0.654527712592284,1.34030218570309,"ecry",0.14283117464925
"25","ecry02",26.8479522973575,21.3295042038311,31.6384164746898,-16.5968488463707,2.356,"Epichrysus_lamprimoides",0.654527712592284,1.34030218570309,"ecry",0.311277085318578
