"","ind","Type","RGB_ave"
"1","abno01","LCP",7.40345210842134
"2","abno01","RCP",6.61402193694378
"3","abno01","VIS",5.30917277656524
"4","abno02","LCP",5.94789798832844
"5","abno02","RCP",5.1459276299656
"6","abno02","VIS",4.14871834928086
"7","anom01","LCP",4.17816730984174
"8","anom01","RCP",3.17473490125484
"9","anom01","VIS",2.52340666343113
"10","anom02","LCP",3.81370205188643
"11","anom02","RCP",2.62036360575874
"12","anom02","VIS",2.43145869981907
"13","atki01","LCP",7.52880325771562
"14","atki01","RCP",4.00224786243918
"15","atki01","VIS",5.17269678304594
"16","atki02","LCP",7.04046785758961
"17","atki02","RCP",3.76148867809646
"18","atki02","VIS",4.84782845007094
"19","aurs01","LCP",5.72727592316826
"20","aurs01","RCP",4.16867596994982
"21","aurs01","VIS",4.5376006718989
"22","aurs02","LCP",5.67290763435034
"23","aurs02","RCP",3.37686712631798
"24","aurs02","VIS",4.0483009028078
"25","boid01","LCP",7.71979831392976
"26","boid01","RCP",7.14726452310181
"27","boid01","VIS",5.67476138639884
"28","boid02","LCP",5.53276712306066
"29","boid02","RCP",4.53344822325035
"30","boid02","VIS",3.73742777391369
"31","boid03","LCP",7.53574971623558
"32","boid03","RCP",6.58549677157063
"33","boid03","VIS",5.51340723840553
"34","boid04","LCP",4.83897177396799
"35","boid04","RCP",3.84529638492971
"36","boid04","VIS",3.07056150925343
"37","boid05","LCP",4.68814727512852
"38","boid05","RCP",3.6623294467689
"39","boid05","VIS",2.94825745205058
"40","brev01","LCP",6.4679763540846
"41","brev01","RCP",5.5010116396647
"42","brev01","VIS",4.99735417669289
"43","brev02","LCP",6.19355625730605
"44","brev02","RCP",5.13475765319374
"45","brev02","VIS",4.46117776267257
"46","brun01","LCP",3.80660864611435
"47","brun01","RCP",4.2364593487883
"48","brun01","VIS",4.53806863805675
"49","brun04","LCP",2.85323338717045
"50","brun04","RCP",3.26874312544658
"51","brun04","VIS",3.39306308102762
"52","brun05","LCP",3.39905230306583
"53","brun05","RCP",3.76643839266167
"54","brun05","VIS",4.03190642316487
"55","clor07","LCP",2.11937400990133
"56","clor07","RCP",2.49991499089745
"57","clor07","VIS",2.70042013151128
"58","clor08","LCP",2.10013456854471
"59","clor08","RCP",2.54814338919945
"60","clor08","VIS",2.84580286914579
"61","clor09","LCP",1.7829550871309
"62","clor09","RCP",2.50947691242046
"63","clor09","VIS",2.30075278226496
"64","conc01","LCP",3.63889194624724
"65","conc01","RCP",3.96602142524704
"66","conc01","VIS",4.44211276001802
"67","conc03","LCP",8.59428067324208
"68","conc03","RCP",8.89111934257326
"69","conc03","VIS",8.96478538450809
"70","ecry01","LCP",4.42090664224404
"71","ecry01","RCP",3.31585577780611
"72","ecry01","VIS",3.85556579785145
"73","ecry02","LCP",5.75072242011831
"74","ecry02","RCP",3.02045566955472
"75","ecry02","VIS",3.79811575844711
"76","ecry03","LCP",4.49813183014727
"77","ecry03","RCP",2.84297185105314
"78","ecry03","VIS",3.20402872306112
"79","fchi01","LCP",7.83835952240176
"80","fchi01","RCP",3.62853235325063
"81","fchi01","VIS",5.45511087816513
"82","fchi02","LCP",11.224052299733
"83","fchi02","RCP",4.02739235162641
"84","fchi02","VIS",6.89523456821057
"85","gray01","LCP",3.72044565997186
"86","gray01","RCP",2.82896272714091
"87","gray01","VIS",2.94348566537278
"88","gray02","LCP",4.8699038728306
"89","gray02","RCP",3.47532488196332
"90","gray02","VIS",3.53022918959388
"91","gray03","LCP",5.91767497635714
"92","gray03","RCP",4.58229086625904
"93","gray03","VIS",5.15465628699882
"94","hirs01","LCP",2.23348005095746
"95","hirs01","RCP",2.47236598148019
"96","hirs01","VIS",2.97902700973662
"97","hirs02","LCP",2.11700149097056
"98","hirs02","RCP",2.57167166029438
"99","hirs02","VIS",2.65538685377534
"100","hirs03","LCP",1.98589518067573
"101","hirs03","RCP",2.49061050634174
"102","hirs03","VIS",2.53348677247326
"103","hirs04","LCP",2.25390456329105
"104","hirs04","RCP",2.55949034814308
"105","hirs04","VIS",2.4481699380584
"106","hirs05","LCP",2.86023300468842
"107","hirs05","RCP",3.09107467177701
"108","hirs05","VIS",3.40272618434916
"109","hirs06","LCP",2.40492859847683
"110","hirs06","RCP",2.79771584979432
"111","hirs06","VIS",2.06455019741346
"112","hirs07","LCP",2.14330039931523
"113","hirs07","RCP",2.54298527798762
"114","hirs07","VIS",2.39672639260553
"115","hirs08","LCP",3.02096964213666
"116","hirs08","RCP",3.14721582449351
"117","hirs08","VIS",3.40611841183305
"118","hirs09","LCP",2.09059926570447
"119","hirs09","RCP",2.70413172817292
"120","hirs09","VIS",2.57266441244313
"121","hirs10","LCP",2.37763064513952
"122","hirs10","RCP",2.71660149478832
"123","hirs10","VIS",2.34780853673491
"124","hirs11","LCP",2.32140306331447
"125","hirs11","RCP",2.64331725867968
"126","hirs11","VIS",3.05760185452658
"127","hirs12","LCP",2.87272733406967
"128","hirs12","RCP",3.1662606012948
"129","hirs12","VIS",3.46620209074503
"130","hirs13","LCP",2.3903942931239
"131","hirs13","RCP",2.80120549205973
"132","hirs13","VIS",3.0363163047425
"133","hirs14","LCP",1.97647058085158
"134","hirs14","RCP",2.51450302752229
"135","hirs14","VIS",2.56768998308513
"136","lats01","LCP",8.71267279545182
"137","lats01","RCP",3.71601791858604
"138","lats01","VIS",5.21834117133065
"139","lats02","LCP",8.79578067443872
"140","lats02","RCP",3.54982856646907
"141","lats02","VIS",5.41984081953251
"142","lats03","LCP",8.08721998188132
"143","lats03","RCP",3.24260710636638
"144","lats03","VIS",5.04014387432968
"145","macl02","LCP",4.66818440998213
"146","macl02","RCP",4.85876779969399
"147","macl02","VIS",5.31768851503215
"148","macl03","LCP",4.98540320776016
"149","macl03","RCP",5.14910736742485
"150","macl03","VIS",5.70427238022431
"151","macl04","LCP",3.03723859717195
"152","macl04","RCP",3.26365633761513
"153","macl04","VIS",3.61951810965994
"154","mcla01","LCP",6.55317710060095
"155","mcla01","RCP",5.97410222104025
"156","mcla01","VIS",5.52012818098081
"157","mcla02","LCP",8.38865650083147
"158","mcla02","RCP",8.37462867155434
"159","mcla02","VIS",7.80942569307989
"160","meli01","LCP",4.75901780433462
"161","meli01","RCP",5.11388340988448
"162","meli01","VIS",5.44368590432349
"163","meli02","LCP",3.54436864752164
"164","meli02","RCP",3.8232112063908
"165","meli02","VIS",4.23281966162433
"166","meli03","LCP",4.2598645309991
"167","meli03","RCP",4.51019567137806
"168","meli03","VIS",4.9127078395004
"169","mima01","LCP",2.46547856701185
"170","mima01","RCP",2.89194579190897
"171","mima01","VIS",2.98662977785688
"172","mima02","LCP",2.37449852364329
"173","mima02","RCP",3.0302497129275
"174","mima02","VIS",2.32009266000386
"175","mont01","LCP",3.74589265571197
"176","mont01","RCP",4.20204353332894
"177","mont01","VIS",4.33194781431178
"178","mont02","LCP",3.34945212334829
"179","mont02","RCP",3.49229866643319
"180","mont02","VIS",3.76790474264999
"181","mont03","LCP",12.7206026377286
"182","mont03","RCP",10.8409806953249
"183","mont03","VIS",11.138391477759
"184","mont04","LCP",3.16939350912097
"185","mont04","RCP",3.5019724675496
"186","mont04","VIS",3.77375486447162
"187","mont05","LCP",4.36626861006701
"188","mont05","RCP",4.32626736305286
"189","mont05","VIS",4.40344470743058
"190","mont06","LCP",6.53846513461595
"191","mont06","RCP",6.59999642833064
"192","mont06","VIS",6.2680422576208
"193","mult01","LCP",5.15078723604165
"194","mult01","RCP",3.46698251727643
"195","mult01","VIS",3.10820368883418
"196","mult02","LCP",4.78525092407533
"197","mult02","RCP",3.53999744691186
"198","mult02","VIS",2.85011696639952
"199","mult03","LCP",5.11286866321352
"200","mult03","RCP",3.54188421950338
"201","mult03","VIS",3.0212431344222
"202","narm01","LCP",5.00901856889911
"203","narm01","RCP",5.45887160309581
"204","narm01","VIS",5.76517708910544
"205","narm02","LCP",5.31663282988818
"206","narm02","RCP",5.56487804202121
"207","narm02","VIS",5.85629047927899
"208","narm03","LCP",10.8268673148045
"209","narm03","RCP",10.8219489741523
"210","narm03","VIS",10.54518770249
"211","neba01","LCP",10.4208752977857
"212","neba01","RCP",9.406033972031
"213","neba01","VIS",8.13599298513639
"214","neba02","LCP",9.75390562600834
"215","neba02","RCP",9.47490017846641
"216","neba02","VIS",7.65887039100187
"217","nebn01","LCP",6.76743003974055
"218","nebn01","RCP",5.97333900557001
"219","nebn01","VIS",4.7166857429447
"220","nebn02","LCP",6.79634812284996
"221","nebn02","RCP",6.00407408114493
"222","nebn02","VIS",4.75793525379986
"223","nebn03","LCP",5.90889541709988
"224","nebn03","RCP",4.6853622105237
"225","nebn03","VIS",4.12624976759066
"226","neus01","LCP",3.12895090488709
"227","neus01","RCP",3.01972108622438
"228","neus01","VIS",3.00932568006721
"229","neus02","LCP",3.89037818284762
"230","neus02","RCP",2.55961338970361
"231","neus02","VIS",2.24341571645234
"232","oliv01","LCP",10.8777205465844
"233","oliv01","RCP",10.3594019628747
"234","oliv01","VIS",8.50718498425891
"235","oliv02","LCP",11.544496265122
"236","oliv02","RCP",10.7896199058937
"237","oliv02","VIS",9.09230217935673
"238","oliv03","LCP",4.41736498041401
"239","oliv03","RCP",5.0146159870751
"240","oliv03","VIS",4.40345512328644
"241","opal01","LCP",5.67073422898992
"242","opal01","RCP",3.42522136170293
"243","opal01","VIS",4.38890093806495
"244","opal02","LCP",8.92819866976161
"245","opal02","RCP",3.76905608196135
"246","opal02","VIS",5.33538845556222
"247","pali01","LCP",4.99512628377712
"248","pali01","RCP",5.16807537290688
"249","pali01","VIS",4.97467890763045
"250","pali02","LCP",6.98526069106587
"251","pali02","RCP",7.22430458144585
"252","pali02","VIS",6.78235711944048
"253","pali03","LCP",8.23502295985841
"254","pali03","RCP",7.99784544280306
"255","pali03","VIS",7.95241681429397
"256","pali04","LCP",4.34254397302557
"257","pali04","RCP",4.49738595291242
"258","pali04","VIS",4.39648439234931
"259","pali05","LCP",3.97751442756629
"260","pali05","RCP",4.14009382884719
"261","pali05","VIS",4.11792374757904
"262","pali06","LCP",5.11673603673595
"263","pali06","RCP",5.24096553110614
"264","pali06","VIS",5.22938897290638
"265","pali07","LCP",5.73050491201788
"266","pali07","RCP",5.89295893905779
"267","pali07","VIS",5.76640697233804
"268","pczo01","LCP",4.18003039032913
"269","pczo01","RCP",4.04488220211787
"270","pczo01","VIS",3.52521124774961
"271","pczo02","LCP",3.84493568716046
"272","pczo02","RCP",3.6759317438151
"273","pczo02","VIS",3.33835269384771
"274","pczo03","LCP",3.51153614494897
"275","pczo03","RCP",3.35752534594214
"276","pczo03","VIS",2.98749196170372
"277","pczp02","LCP",3.68888530726285
"278","pczp02","RCP",4.01562634699306
"279","pczp02","VIS",3.83791890725542
"280","pczp03","LCP",1.82313397922572
"281","pczp03","RCP",2.14237333306813
"282","pczp03","VIS",2.03325636851286
"283","pczp04","LCP",2.04623310903526
"284","pczp04","RCP",2.33219775152862
"285","pczp04","VIS",2.04358468663821
"286","pczv01","LCP",2.54106258676264
"287","pczv01","RCP",2.91339737290474
"288","pczv01","VIS",3.23584139641076
"289","pczv02","LCP",2.51438428756529
"290","pczv02","RCP",2.94703956683622
"291","pczv02","VIS",3.16035281760312
"292","pczv03","LCP",2.96581694261724
"293","pczv03","RCP",3.4263620502386
"294","pczv03","VIS",3.56861392592461
"295","pind01","LCP",4.49916647097961
"296","pind01","RCP",4.57415346456924
"297","pind01","VIS",4.3563282181875
"298","pind02","LCP",5.24025135349726
"299","pind02","RCP",5.29150296607332
"300","pind02","VIS",5.23849463896412
"301","pind04","LCP",4.29014310388862
"302","pind04","RCP",4.16173729916956
"303","pind04","VIS",4.11947191597453
"304","pind05","LCP",4.20694767110565
"305","pind05","RCP",3.94218708865366
"306","pind05","VIS",3.65830616364636
"307","pind06","LCP",3.50513417387456
"308","pind06","RCP",3.40921453734274
"309","pind06","VIS",3.15495647938354
"310","pind07","LCP",11.5659417320433
"311","pind07","RCP",10.7454708052669
"312","pind07","VIS",11.5697736600496
"313","pind08","LCP",5.09089261764146
"314","pind08","RCP",4.94307873246244
"315","pind08","VIS",4.83996350020586
"316","pine01","LCP",4.66912742152154
"317","pine01","RCP",3.40855793849938
"318","pine01","VIS",3.05357320657093
"319","poro01","LCP",3.27987308100248
"320","poro01","RCP",3.25440904869088
"321","poro01","VIS",2.82847211730825
"322","poro02","LCP",3.72117858433574
"323","poro02","RCP",3.86484321985057
"324","poro02","VIS",3.45055120977308
"325","poro03","LCP",9.76350352074661
"326","poro03","RCP",9.55998161598625
"327","poro03","VIS",10.0283462531733
"328","poro04","LCP",4.53076803185073
"329","poro04","RCP",4.44824940571634
"330","poro04","VIS",4.4523283207284
"331","poro05","LCP",5.29486404880952
"332","poro05","RCP",4.91267579351088
"333","poro05","VIS",4.8323183955262
"334","poro06","LCP",3.77820976660203
"335","poro06","RCP",3.49480508369942
"336","poro06","VIS",3.35100794614173
"337","poro07","LCP",4.1536026094006
"338","poro07","RCP",3.85545419887132
"339","poro07","VIS",3.65074107247076
"340","poro08","LCP",3.34936767116391
"341","poro08","RCP",3.14022331472181
"342","poro08","VIS",2.82041583052219
"343","poro09","LCP",3.48303384936133
"344","poro09","RCP",3.31147787367847
"345","poro09","VIS",3.02487308690048
"346","poro12","LCP",5.38047474235379
"347","poro12","RCP",5.18932058092042
"348","poro12","VIS",4.87282729192034
"349","poro13","LCP",3.59135206257197
"350","poro13","RCP",3.3133728490124
"351","poro13","VIS",3.01225321929919
"352","poro14","LCP",3.87280878304798
"353","poro14","RCP",3.51771670451917
"354","poro14","VIS",3.16607961373637
"355","poro15","LCP",4.15688628150263
"356","poro15","RCP",3.91158342602998
"357","poro15","VIS",3.53006086449443
"358","prsi01","LCP",9.76423285030671
"359","prsi01","RCP",10.4381296547949
"360","prsi01","VIS",9.47056209634886
"361","prsi02","LCP",5.21179633332977
"362","prsi02","RCP",5.36500067881418
"363","prsi02","VIS",5.28512305324572
"364","prsi03","LCP",6.11185806995127
"365","prsi03","RCP",6.33716523487823
"366","prsi03","VIS",6.14915610903506
"367","punc01","LCP",4.58392688142349
"368","punc01","RCP",3.92874847885861
"369","punc01","VIS",3.99612005209412
"370","punc02","LCP",5.78986490150664
"371","punc02","RCP",4.67875383984726
"372","punc02","VIS",5.29882121959266
"373","pvul01","LCP",5.02163446543258
"374","pvul01","RCP",3.58959162941896
"375","pvul01","VIS",4.24773223949963
"376","pvul02","LCP",13.2255576065684
"377","pvul02","RCP",5.48025872840728
"378","pvul02","VIS",9.16027917528424
"379","pvul03","LCP",10.0590214675164
"380","pvul03","RCP",4.26552721711324
"381","pvul03","VIS",7.10864758331806
"382","pvul04","LCP",8.85139618812623
"383","pvul04","RCP",4.2736022281664
"384","pvul04","VIS",6.24780440898488
"385","rayn01","LCP",13.2307997443133
"386","rayn01","RCP",5.66598545427741
"387","rayn01","VIS",8.52617143643673
"388","rayn02","LCP",3.60058359770675
"389","rayn02","RCP",2.57535474850097
"390","rayn02","VIS",2.58731178874829
"391","rayn03","LCP",4.16173758418723
"392","rayn03","RCP",2.70509290194413
"393","rayn03","VIS",2.861223212779
"394","repa01","LCP",2.68048829919278
"395","repa01","RCP",2.32923899900757
"396","repa01","VIS",2.03482524264122
"397","repa02","LCP",2.57460614971502
"398","repa02","RCP",2.32315558805427
"399","repa02","VIS",2.02816727659862
"400","reps01","LCP",2.60283549859296
"401","reps01","RCP",2.4230486942047
"402","reps01","VIS",2.07963655171946
"403","reps02","LCP",2.61378341570128
"404","reps02","RCP",2.37543973020463
"405","reps02","VIS",2.01847701472738
"406","rept01","LCP",2.9017658055522
"407","rept01","RCP",2.55541999791812
"408","rept01","VIS",2.28406153301487
"409","rept02","LCP",2.79822944208678
"410","rept02","RCP",2.4886801903797
"411","rept02","VIS",2.27123421848441
"412","rina02","LCP",6.77120999168628
"413","rina02","RCP",5.39190417604366
"414","rina02","VIS",4.74169010562105
"415","rina03","LCP",6.61201262645756
"416","rina03","RCP",5.6550412047728
"417","rina03","VIS",4.43778488844105
"418","rina04","LCP",6.03486444580367
"419","rina04","RCP",5.25846493363504
"420","rina04","VIS",4.21965225121855
"421","roci02","LCP",5.88757239260834
"422","roci02","RCP",5.25086943753135
"423","roci02","VIS",4.54968118754668
"424","roci03","LCP",5.85265241060782
"425","roci03","RCP",5.26179088091394
"426","roci03","VIS",4.53846482123203
"427","roci04","LCP",6.96570618442357
"428","roci04","RCP",6.21418539314847
"429","roci04","VIS",5.41239673593327
"430","rose01","LCP",21.6288920001136
"431","rose01","RCP",6.8557826460135
"432","rose01","VIS",13.328646409983
"433","rose02","LCP",13.2671718090462
"434","rose02","RCP",6.63196283807511
"435","rose02","VIS",9.8463428244478
"436","rose03","LCP",13.7559381665997
"437","rose03","RCP",5.79927605505289
"438","rose03","VIS",9.59180369264709
"439","rose04","LCP",16.3204808344508
"440","rose04","RCP",5.41429570963544
"441","rose04","VIS",9.41550143572045
"442","rubi01","LCP",3.77396538260582
"443","rubi01","RCP",3.7904023113429
"444","rubi01","VIS",3.76310066351132
"445","rubi02","LCP",5.60349624272971
"446","rubi02","RCP",5.10270106827664
"447","rubi02","VIS",5.3443914049025
"448","rubi03","LCP",5.5344924601173
"449","rubi03","RCP",4.39920358383397
"450","rubi03","VIS",3.81471035128769
"451","rubi04","LCP",4.97013421553003
"452","rubi04","RCP",4.12346881288097
"453","rubi04","VIS",3.27615734505294
"454","rubi05","LCP",5.37142300776295
"455","rubi05","RCP",4.23670918144274
"456","rubi05","VIS",3.53332399676269
"457","rubi06","LCP",6.35561887940369
"458","rubi06","RCP",5.21412972865047
"459","rubi06","VIS",4.50028070905496
"460","rugo01","LCP",3.28957181044023
"461","rugo01","RCP",3.53464773441506
"462","rugo01","VIS",3.41567291195925
"463","rugo02","LCP",3.02787520981155
"464","rugo02","RCP",3.32238759068158
"465","rugo02","VIS",2.93002146981693
"466","rugo03","LCP",3.14494467697113
"467","rugo03","RCP",3.44227353041
"468","rugo03","VIS",3.2504537522274
"469","smgg01","LCP",6.9757516936137
"470","smgg01","RCP",4.50580106053584
"471","smgg01","VIS",5.67222382860589
"472","smgg02","LCP",5.17997238520689
"473","smgg02","RCP",3.86633861151992
"474","smgg02","VIS",4.71190481914761
"475","smgp01","LCP",3.78104623493137
"476","smgp01","RCP",3.55589337320056
"477","smgp01","VIS",3.39844305621292
"478","smgr01","LCP",5.59594044558692
"479","smgr01","RCP",3.60446202624238
"480","smgr01","VIS",4.14883338548952
"481","tars01","LCP",8.03273230508465
"482","tars01","RCP",7.25905633240591
"483","tars01","VIS",6.3385866684681
"484","tars02","LCP",6.2187653754273
"485","tars02","RCP",5.39091714811946
"486","tars02","VIS",4.44419222767773
"487","tars03","LCP",7.4985920566907
"488","tars03","RCP",5.92602703602284
"489","tars03","VIS",5.48158666228425
"490","velu01","LCP",7.17998089588293
"491","velu01","RCP",6.81319135375983
"492","velu01","VIS",5.26108797013827
"493","velu02","LCP",5.72762543612533
"494","velu02","RCP",5.0098283422311
"495","velu02","VIS",3.78029115348249
"496","velu03","LCP",7.8959086586024
"497","velu03","RCP",7.33059048439502
"498","velu03","VIS",5.82973139050042
"499","velu04","LCP",5.79851064192613
"500","velu04","RCP",4.86245874223123
"501","velu04","VIS",4.11691205940262
"502","velu05","LCP",7.66300374613704
