"","wl","anom03","anom02","atki03","atki04","aurs03","aurs04","clor17","conc05","conc06","ecry04","ecry05","fchi03","fchi04","gray04","gray05","hirs15","hirs16","lats04","lats05","mcla03","macl06","macl07","narm04","narm05","pczo05","pczv04","pczv05","opal03","pali08","pali09","poro16","poro17","pczp05","pczp06","prsi04","prsi05","prsi06","pvul05","pvul06","rayn04","rayn05","repa03","reps03","smgg03","smgg04","tars05","tars06","xyle07","xyle08","xyle09","Sun"
"1",400,0.692272727,0.151363636,0.344545455,0.026363636,0.573181818,0.570454545,0.757272727,2.066818182,1.587272727,0.523636364,0.554090909,0,0.009090909,0.010454545,0.066818182,0.635454545,0.595454545,0.214545455,0.186363636,0.070909091,0.306818182,0.191363636,0.225,0.215909091,2.171363636,2.761818182,0.64,0.465,0.238636364,0.285,1.104545455,0.108181818,0.594545455,0.885,0.048181818,0.051363636,0.047727273,0.532727273,0.978181818,0.288181818,0.380454545,0.038181818,0.182727273,0.456818182,0.149545455,0.455909091,0.397727273,0.734545455,0,0,1.09474
"2",401,0.682875494,0.1476383395,0.339881423,0.030355731,0.5668083005,0.567618577,0.7529841895,2.1086264825,1.6158102765,0.5166007905,0.5485671935,0,0.009762846,0.0093577075,0.065583004,0.6277272725,0.5912055335,0.2100988145,0.182312253,0.0711067195,0.309061265,0.1908992095,0.2279347825,0.21534585,2.209812253,2.815256917,0.644130435,0.4620652175,0.2417094865,0.286195652,1.127055336,0.107786561,0.599664032,0.896630435,0.0451778655,0.0502470355,0.0460375495,0.5248418975,0.9714822135,0.283438735,0.375662055,0.0416996045,0.180928854,0.4516699605,0.1460770755,0.458389328,0.403646245,0.7281422925,0,0,1.117765
"3",402,0.673478261,0.143913043,0.335217391,0.034347826,0.560434783,0.564782609,0.748695652,2.150434783,1.644347826,0.509565217,0.543043478,0,0.010434783,0.00826087,0.064347826,0.62,0.586956522,0.205652174,0.17826087,0.071304348,0.311304348,0.190434783,0.230869565,0.214782609,2.24826087,2.868695652,0.64826087,0.459130435,0.244782609,0.287391304,1.149565217,0.107391304,0.604782609,0.90826087,0.042173913,0.049130435,0.044347826,0.516956522,0.964782609,0.278695652,0.370869565,0.045217391,0.179130435,0.446521739,0.142608696,0.460869565,0.409565217,0.72173913,0,0,1.14079
"4",403,0.661284585,0.1412747035,0.32965415,0.0367193675,0.5558992095,0.5623913045,0.7454841895,2.1995355735,1.6769466405,0.505918972,0.5392490115,0,0.010671937,0.0068577075,0.0624011855,0.6127272725,0.5846146245,0.202144269,0.1768577075,0.0711067195,0.3145158105,0.191353755,0.2336166005,0.213754941,2.287312253,2.925938735,0.6539031625,0.458428854,0.2458003955,0.2891501975,1.174328063,0.1098320155,0.613527668,0.9204940715,0.0410869565,0.048428854,0.0424011855,0.5137055335,0.9608003955,0.273666008,0.3663438735,0.0466996045,0.178201581,0.4414426875,0.1399407115,0.4654347825,0.417509881,0.7160968375,0,0,1.14538
"5",404,0.649090909,0.138636364,0.324090909,0.039090909,0.551363636,0.56,0.742272727,2.248636364,1.709545455,0.502272727,0.535454545,0,0.010909091,0.005454545,0.060454545,0.605454545,0.582272727,0.198636364,0.175454545,0.070909091,0.317727273,0.192272727,0.236363636,0.212727273,2.326363636,2.983181818,0.659545455,0.457727273,0.246818182,0.290909091,1.199090909,0.112272727,0.622272727,0.932727273,0.04,0.047727273,0.040454545,0.510454545,0.956818182,0.268636364,0.361818182,0.048181818,0.177272727,0.436363636,0.137272727,0.47,0.425454545,0.710454545,0,0,1.14997
"6",405,0.6367193675,0.135839921,0.3185671935,0.0358498025,0.546551383,0.557826087,0.7374407115,2.303013834,1.747816206,0.498527668,0.533162055,0,0.010889328,0.008162055,0.059140316,0.5962055335,0.5802667985,0.196492095,0.173814229,0.0726284585,0.319081028,0.1898320155,0.238181818,0.2078853755,2.3664426875,3.0448517785,0.6691205535,0.4553853755,0.2458003955,0.293063241,1.2260671935,0.115049407,0.630918972,0.9463636365,0.037173913,0.043428854,0.035444664,0.5087055335,0.956887352,0.2647529645,0.358083004,0.048221344,0.173853755,0.428181818,0.133418972,0.476521739,0.4320750985,0.7067490115,0,0,1.15019
"7",406,0.624347826,0.133043478,0.313043478,0.032608696,0.54173913,0.555652174,0.732608696,2.357391304,1.786086957,0.494782609,0.530869565,0,0.010869565,0.010869565,0.057826087,0.586956522,0.57826087,0.194347826,0.172173913,0.074347826,0.320434783,0.187391304,0.24,0.203043478,2.406521739,3.106521739,0.678695652,0.453043478,0.244782609,0.295217391,1.253043478,0.117826087,0.639565217,0.96,0.034347826,0.039130435,0.030434783,0.506956522,0.956956522,0.260869565,0.354347826,0.04826087,0.170434783,0.42,0.129565217,0.483043478,0.438695652,0.703043478,0,0,1.15041
"8",407,0.617855731,0.1319762845,0.310612648,0.030395257,0.536551383,0.5555533595,0.727213439,2.417786561,1.8305434785,0.491027668,0.5304347825,0,0.013162055,0.015662055,0.058685771,0.5787055335,0.576630435,0.1935375495,0.1717687745,0.077855731,0.323171937,0.18437747,0.2413636365,0.1969762845,2.4475790515,3.170988142,0.690029644,0.44993083,0.244664032,0.2941996045,1.2826581025,0.119367589,0.650237154,0.976818182,0.031264822,0.0354743085,0.027944664,0.5039328065,0.961887352,0.2604347825,0.3510375495,0.0493577075,0.167944664,0.4122727275,0.1247826085,0.492203557,0.4473023715,0.70243083,0,0,1.15342
"9",408,0.611363636,0.130909091,0.308181818,0.028181818,0.531363636,0.555454545,0.721818182,2.478181818,1.875,0.487272727,0.53,0,0.015454545,0.020454545,0.059545455,0.570454545,0.575,0.192727273,0.171363636,0.081363636,0.325909091,0.181363636,0.242727273,0.190909091,2.488636364,3.235454545,0.701363636,0.446818182,0.244545455,0.293181818,1.312272727,0.120909091,0.660909091,0.993636364,0.028181818,0.031818182,0.025454545,0.500909091,0.966818182,0.26,0.347727273,0.050454545,0.165454545,0.404545455,0.12,0.501363636,0.455909091,0.701818182,0,0,1.15643
"10",409,0.6089426875,0.131541502,0.308221344,0.0258300395,0.5308992095,0.5599011855,0.720256917,2.55256917,1.931630435,0.485592885,0.533695652,0,0.0170750985,0.02479249,0.060859684,0.567618577,0.575326087,0.1920158105,0.172855731,0.085029644,0.332737154,0.181986166,0.24527668,0.1876284585,2.5362747035,3.310770751,0.7180731225,0.44493083,0.2457509885,0.293112648,1.3476581025,0.124367589,0.675889328,1.0157312255,0.0260474305,0.030909091,0.0270750985,0.4998023715,0.9758003955,0.260869565,0.3460375495,0.0515316205,0.1640316205,0.399229249,0.115869565,0.5108992095,0.469911067,0.7026482215,0,0,1.159215
