species,patch_ID,ID,R,G,B,type,camera_cat,col_percent,location
Aaaba_fossicollis,Aaaba_fossicollis_1,Aaaba_fossicollis_1,7.40E-04,0,41.959,UV,small,1,RoI
Aaaba_fossicollis,Aaaba_fossicollis_1,Aaaba_fossicollis_1,85.04,112.421,59.124,VIS,small,1,RoI
Aaaba_fossicollis,Aaaba_fossicollis_1,Aaaba_fossicollis_1,93.502,52.505,84.992,NIR,small,1,RoI
Aaaba_fossicollis,Aaaba_fossicollis_1,Aaaba_fossicollis_1,11.931,0,162.379,UV,small,1,grey
Aaaba_fossicollis,Aaaba_fossicollis_1,Aaaba_fossicollis_1,100.205,117.4,115.447,VIS,small,1,grey
Aaaba_fossicollis,Aaaba_fossicollis_1,Aaaba_fossicollis_1,135.551,81.25,124.41,NIR,small,1,grey
Acmaeodera_pubiventris_yumae,Acmaeodera_pubiventris_yumae_1,Acmaeodera_pubiventris_yumae_1,4.79E-04,0,53.197,UV,small,1,RoI
Acmaeodera_pubiventris_yumae,Acmaeodera_pubiventris_yumae_2,Acmaeodera_pubiventris_yumae_2,3.71E-04,0,77.008,UV,small,1,RoI
Acmaeodera_pubiventris_yumae,Acmaeodera_pubiventris_yumae_3,Acmaeodera_pubiventris_yumae_3,4.44E-04,0,64.851,UV,small,1,RoI
Acmaeodera_pubiventris_yumae,Acmaeodera_pubiventris_yumae_1,Acmaeodera_pubiventris_yumae_1,95.791,77.554,30.799,VIS,small,1,RoI
Acmaeodera_pubiventris_yumae,Acmaeodera_pubiventris_yumae_2,Acmaeodera_pubiventris_yumae_2,99.515,72.543,15.844,VIS,small,1,RoI
Acmaeodera_pubiventris_yumae,Acmaeodera_pubiventris_yumae_3,Acmaeodera_pubiventris_yumae_3,102.577,80.311,21.45,VIS,small,1,RoI
Acmaeodera_pubiventris_yumae,Acmaeodera_pubiventris_yumae_1,Acmaeodera_pubiventris_yumae_1,149.116,93.572,141.596,NIR,small,1,RoI
Acmaeodera_pubiventris_yumae,Acmaeodera_pubiventris_yumae_2,Acmaeodera_pubiventris_yumae_2,165.308,105.227,156.716,NIR,small,1,RoI
Acmaeodera_pubiventris_yumae,Acmaeodera_pubiventris_yumae_3,Acmaeodera_pubiventris_yumae_3,163.566,103.606,154.601,NIR,small,1,RoI
Acmaeodera_pubiventris_yumae,Acmaeodera_pubiventris_yumae_1,Acmaeodera_pubiventris_yumae_1,33.421,0,183.754,UV,small,1,grey
Acmaeodera_pubiventris_yumae,Acmaeodera_pubiventris_yumae_2,Acmaeodera_pubiventris_yumae_2,20.223,0,169.858,UV,small,1,grey
Acmaeodera_pubiventris_yumae,Acmaeodera_pubiventris_yumae_3,Acmaeodera_pubiventris_yumae_3,24.988,0,176.527,UV,small,1,grey
Acmaeodera_pubiventris_yumae,Acmaeodera_pubiventris_yumae_1,Acmaeodera_pubiventris_yumae_1,91.451,106.591,104.713,VIS,small,1,grey
Acmaeodera_pubiventris_yumae,Acmaeodera_pubiventris_yumae_2,Acmaeodera_pubiventris_yumae_2,86.113,100.155,98.03,VIS,small,1,grey
Acmaeodera_pubiventris_yumae,Acmaeodera_pubiventris_yumae_3,Acmaeodera_pubiventris_yumae_3,96.095,112.002,109.788,VIS,small,1,grey
Acmaeodera_pubiventris_yumae,Acmaeodera_pubiventris_yumae_1,Acmaeodera_pubiventris_yumae_1,139.885,84.058,128.586,NIR,small,1,grey
Acmaeodera_pubiventris_yumae,Acmaeodera_pubiventris_yumae_2,Acmaeodera_pubiventris_yumae_2,146.584,88.768,134.916,NIR,small,1,grey
Acmaeodera_pubiventris_yumae,Acmaeodera_pubiventris_yumae_3,Acmaeodera_pubiventris_yumae_3,147.696,89.566,136.163,NIR,small,1,grey
Acmaeodera_tuta,Acmaeodera_tuta_1,Acmaeodera_tuta_1,0.001,0,52.341,UV,small,0.662601626,RoI
Acmaeodera_tuta,Acmaeodera_tuta_2,Acmaeodera_tuta_2,0.002,0,53.083,UV,small,0.677267876,RoI
Acmaeodera_tuta,Acmaeodera_tuta_3,Acmaeodera_tuta_3,0.002,0,50.106,UV,small,0.73853211,RoI
Acmaeodera_tuta,Acmaeodera_tuta_yellow_1,Acmaeodera_tuta_1,0.001,0,43.937,UV,small,0.337398374,RoI
Acmaeodera_tuta,Acmaeodera_tuta_yellow_2,Acmaeodera_tuta_2,0.004,0,32.365,UV,small,0.322732124,RoI
Acmaeodera_tuta,Acmaeodera_tuta_yellow_3,Acmaeodera_tuta_3,0.011,0,30.907,UV,small,0.26146789,RoI
Acmaeodera_tuta,Acmaeodera_tuta_1,Acmaeodera_tuta_1,30.205,33.261,27.536,VIS,small,0.662601626,RoI
Acmaeodera_tuta,Acmaeodera_tuta_2,Acmaeodera_tuta_2,43.83,46.986,36.923,VIS,small,0.677267876,RoI
Acmaeodera_tuta,Acmaeodera_tuta_3,Acmaeodera_tuta_3,30.096,34.58,28.292,VIS,small,0.73853211,RoI
Acmaeodera_tuta,Acmaeodera_tuta_yellow_1,Acmaeodera_tuta_1,91.797,67.919,15.658,VIS,small,0.337398374,RoI
Acmaeodera_tuta,Acmaeodera_tuta_yellow_2,Acmaeodera_tuta_2,101.62,75.956,18.64,VIS,small,0.322732124,RoI
Acmaeodera_tuta,Acmaeodera_tuta_yellow_3,Acmaeodera_tuta_3,75.683,55.159,12.278,VIS,small,0.26146789,RoI
Acmaeodera_tuta,Acmaeodera_tuta_1,Acmaeodera_tuta_1,56.1,30.497,57.898,NIR,small,0.662601626,RoI
Acmaeodera_tuta,Acmaeodera_tuta_2,Acmaeodera_tuta_2,86.989,52.264,86.448,NIR,small,0.677267876,RoI
